ID,KAST,IMPACT,RATING,Total kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Grenade dmg / Round,Maps   played,Rounds played,Kills / round,Assists / round,Deaths / round,Saved by teammate / round,Saved teammates / round
ZywOo,74.9%,1.45,1.32,22622,41.2%,16458,1.37,88.0,3.6,1020,26803,0.84,0.12,0.61,0.1,0.12
XigN,73.3%,1.23,1.15,14568,52.4%,12129,1.2,82.8,2.8,717,18574,0.78,0.13,0.65,0.09,0.1
BnTeT,74.5%,1.15,1.15,20591,39.8%,16796,1.23,83.0,5.1,1033,26924,0.76,0.14,0.62,0.1,0.12
blameF,74.0%,1.22,1.22,17952,39.2%,14234,1.26,85.6,7.1,879,23494,0.76,0.14,0.61,0.07,0.09
NiKo,71.1%,1.31,1.15,34634,50.4%,29087,1.19,86.0,4.4,1637,43526,0.8,0.13,0.67,0.08,0.1
DANK1NG,73.5%,1.24,1.2,8149,39.7%,6556,1.24,79.8,2.3,391,10366,0.79,0.1,0.63,0.09,0.1
device,71.2%,1.28,1.16,36293,35.0%,29085,1.25,80.3,4.3,1793,46666,0.78,0.13,0.62,0.07,0.08
torzsi,71.2%,1.22,1.18,9852,29.1%,7846,1.26,78.1,2.5,475,12699,0.78,0.09,0.62,0.08,0.11
SENSEi,73.5%,1.19,1.21,9069,31.3%,6762,1.34,76.1,2.7,459,12131,0.75,0.09,0.56,0.07,0.09
XANTARES,72.3%,1.34,1.17,37879,53.3%,31623,1.2,89.1,4.6,1772,46706,0.81,0.15,0.68,0.1,0.1
sterling,73.2%,1.19,1.2,17009,31.5%,13056,1.3,78.1,4.0,858,21953,0.77,0.1,0.59,0.08,0.11
smooya,71.5%,1.27,1.2,18466,27.8%,14617,1.26,79.3,2.5,888,23515,0.79,0.1,0.62,0.08,0.1
degster,72.6%,1.25,1.21,14351,34.7%,10988,1.31,79.3,2.9,686,18284,0.78,0.09,0.6,0.07,0.1
Kaze,73.7%,1.24,1.19,17675,30.3%,13384,1.32,80.1,2.9,864,22588,0.78,0.11,0.59,0.08,0.1
saffee,73.4%,1.24,1.22,8482,30.9%,6517,1.3,80.2,3.0,404,10701,0.79,0.1,0.61,0.08,0.1
deko,74.4%,1.21,1.23,8738,36.7%,6397,1.37,80.4,3.4,404,10913,0.8,0.1,0.59,0.09,0.11
OCEAN,64.3%,0.72,0.77,5530,44.3%,7492,0.74,59.7,3.6,410,10602,0.52,0.12,0.71,0.09,0.08
RuFire,63.3%,0.81,0.84,5579,47.9%,7506,0.74,66.5,4.7,384,10185,0.55,0.14,0.74,0.09,0.06
netrick,66.3%,0.85,0.82,6753,48.2%,8489,0.8,66.8,6.6,455,11976,0.56,0.14,0.71,0.11,0.09
HUNDEN,66.8%,0.8,0.81,22470,48.7%,28708,0.78,64.4,4.5,1578,41153,0.55,0.14,0.7,0.11,0.09
B1ad3,64.6%,0.84,0.83,13472,41.9%,16880,0.8,66.5,2.6,899,23232,0.58,0.16,0.73,0.1,0.07
PASHANOJ,64.6%,0.91,0.9,9177,53.5%,11434,0.8,68.2,4.0,601,15722,0.58,0.13,0.73,0.1,0.07
Slemmy,67.7%,0.78,0.85,6638,49.6%,7951,0.83,63.7,3.2,445,11663,0.57,0.12,0.68,0.11,0.09
gob b,68.3%,0.84,0.85,14445,48.5%,17256,0.84,66.6,6.0,975,25707,0.56,0.13,0.67,0.1,0.08
Twista,67.3%,0.82,0.85,5863,35.9%,7012,0.84,67.4,5.1,380,9970,0.59,0.16,0.7,0.09,0.09
Devilwalk,66.8%,0.91,0.86,6122,51.3%,7223,0.85,69.8,3.9,400,10494,0.58,0.16,0.69,0.12,0.08
djL,69.2%,0.8,0.91,10263,47.3%,11998,0.86,63.0,3.0,688,18180,0.56,0.12,0.66,0.1,0.08
def,69.0%,0.85,0.86,9243,41.8%,10836,0.85,67.4,3.4,605,15797,0.59,0.14,0.69,0.11,0.08
HooXi,66.7%,0.87,0.87,12343,49.7%,14549,0.85,68.0,5.9,798,21225,0.58,0.13,0.69,0.09,0.08
nawrot,66.5%,0.91,0.92,9764,47.1%,11501,0.85,66.1,4.0,603,16182,0.6,0.12,0.71,0.1,0.09
advent,71.4%,0.76,0.87,15800,49.9%,17998,0.88,62.1,4.4,1101,28312,0.56,0.13,0.64,0.11,0.1
birdfromsky,69.8%,0.98,0.99,13060,41.6%,15183,0.86,72.5,7.7,812,21860,0.6,0.17,0.69,0.14,0.09
BERRY,65.4%,0.98,0.87,12987,38.0%,15332,0.85,71.7,5.8,802,20987,0.62,0.15,0.73,0.1,0.08
flowsicK,67.4%,0.97,0.87,6257,47.4%,7304,0.86,73.6,3.7,395,10074,0.62,0.15,0.73,0.11,0.08
daps,69.6%,0.83,0.88,16274,40.2%,18638,0.87,66.8,4.4,1075,28101,0.58,0.14,0.66,0.1,0.07
seang@res,68.0%,0.87,0.88,10904,40.2%,12533,0.87,67.4,4.8,713,18391,0.59,0.14,0.68,0.11,0.08
torben,68.6%,0.84,0.93,8176,49.5%,9372,0.87,66.2,3.7,532,13939,0.59,0.12,0.67,0.1,0.09
LeX,66.4%,0.92,0.88,7418,44.7%,8680,0.85,71.1,4.0,462,11931,0.62,0.14,0.73,0.1,0.08
ScrunK,66.4%,0.94,0.88,14920,46.5%,17436,0.86,71.2,6.9,921,24460,0.61,0.14,0.71,0.1,0.08
